,M+1,M+2,M+3
482,0.072,0.014,0.57075
483,0.07225,0.014,0.57025
484,0.07275,0.014,0.57125
485,0.073,0.01375,0.572
486,0.07325,0.014,0.57225
487,0.0725,0.014,0.57375
488,0.07275,0.014,0.5745
489,0.073,0.014,0.57475
490,0.07325,0.01375,0.57475
491,0.07375,0.014,0.5745
492,0.07375,0.0145,0.574
493,0.07425,0.0145,0.57425
494,0.07425,0.0145,0.5745
495,0.07425,0.0145,0.5745
496,0.0745,0.0145,0.57525
497,0.07475,0.0145,0.5755
498,0.0745,0.0145,0.576
499,0.074,0.0145,0.5765
500,0.07375,0.01475,0.577
501,0.07375,0.0145,0.57725
502,0.074,0.01475,0.5775
503,0.074,0.01475,0.57775
504,0.07425,0.015,0.57825
505,0.0745,0.015,0.57875
506,0.0745,0.015,0.58
507,0.07475,0.015,0.581
508,0.0745,0.0155,0.58125
509,0.07425,0.0155,0.58175
510,0.07425,0.016,0.582
511,0.07425,0.0165,0.58325
512,0.0745,0.0165,0.58375
513,0.0745,0.0165,0.58325
514,0.0745,0.0165,0.58375
515,0.0745,0.0165,0.58375
516,0.07475,0.0165,0.584
517,0.075,0.01625,0.58375
518,0.075,0.01625,0.58425
519,0.07475,0.01675,0.585
520,0.07475,0.01675,0.58575
521,0.0745,0.01675,0.5855
522,0.07425,0.017,0.5855
523,0.0745,0.017,0.58525
524,0.07475,0.017,0.58475
525,0.0745,0.017,0.586
526,0.07525,0.017,0.58575
527,0.0755,0.017,0.58575
528,0.07525,0.01675,0.586
529,0.076,0.01675,0.5855
530,0.076,0.017,0.58625
531,0.077,0.01725,0.58625
532,0.07775,0.01725,0.5865
533,0.07775,0.0175,0.588
534,0.078,0.0175,0.58775
535,0.07775,0.0175,0.589
536,0.078,0.01775,0.58875
537,0.07825,0.01725,0.5895
538,0.07825,0.01725,0.58975
539,0.07825,0.01725,0.591
540,0.07825,0.01725,0.59175
541,0.079,0.0175,0.59225
542,0.079,0.0175,0.59225
543,0.079,0.01775,0.59325
544,0.07925,0.01775,0.5935
545,0.0795,0.01775,0.5935
546,0.08,0.01775,0.594
547,0.08025,0.01775,0.59425
548,0.08,0.01775,0.59525
549,0.07975,0.01775,0.59575
550,0.07975,0.01775,0.59725
551,0.07975,0.017,0.5985
552,0.08,0.017,0.599
553,0.08025,0.0175,0.59825
554,0.08025,0.0175,0.59825
555,0.0805,0.0175,0.5985
556,0.08075,0.01725,0.5995
557,0.0815,0.01725,0.5995
558,0.08225,0.01725,0.59925
559,0.08275,0.01725,0.5995
560,0.0825,0.01725,0.59975
561,0.08325,0.01725,0.60025
562,0.0835,0.017,0.60125
563,0.084,0.01675,0.602
564,0.08425,0.0165,0.60225
565,0.084,0.01675,0.6025
566,0.08425,0.01675,0.6035
567,0.08425,0.01675,0.6035
568,0.08425,0.01675,0.60375
569,0.08475,0.0165,0.604
