,M+1,M+2,M+3,M+4,M+5
392,0.0,0.18,0.1,0.2,0.02
393,0.0,0.16,0.06,0.24,0.02
394,0.0,0.2,0.08,0.18,0.04
395,0.0,0.18,0.08,0.14,0.04
396,0.0,0.2,0.08,0.14,0.04
397,0.0,0.24,0.06,0.12,0.06
398,0.0,0.3,0.02,0.12,0.02
399,0.0,0.28,0.04,0.14,0.02
400,0.0,0.28,0.02,0.14,0.04
401,0.0,0.26,0.0,0.16,0.04
402,0.0,0.26,0.0,0.2,0.04
403,0.0,0.18,0.0,0.22,0.08
404,0.0,0.18,0.02,0.22,0.06
405,0.0,0.2,0.04,0.2,0.04
406,0.0,0.22,0.06,0.16,0.06
407,0.0,0.28,0.06,0.18,0.02
408,0.0,0.26,0.08,0.14,0.02
409,0.0,0.22,0.06,0.16,0.02
410,0.0,0.24,0.06,0.12,0.02
411,0.0,0.24,0.08,0.12,0.0
412,0.0,0.26,0.06,0.12,0.0
413,0.0,0.32,0.02,0.1,0.0
414,0.0,0.34,0.02,0.1,0.0
415,0.0,0.32,0.0,0.1,0.02
416,0.0,0.32,0.0,0.08,0.04
417,0.0,0.34,0.0,0.04,0.06
418,0.0,0.36,0.0,0.06,0.02
419,0.0,0.28,0.04,0.04,0.04
420,0.0,0.3,0.02,0.06,0.06
421,0.0,0.26,0.02,0.12,0.04
422,0.0,0.28,0.06,0.1,0.02
423,0.0,0.26,0.04,0.16,0.0
424,0.0,0.28,0.04,0.12,0.02
425,0.0,0.26,0.06,0.14,0.02
426,0.0,0.32,0.06,0.12,0.02
427,0.0,0.3,0.08,0.14,0.02
428,0.0,0.26,0.06,0.14,0.06
429,0.0,0.2,0.08,0.16,0.06
430,0.0,0.24,0.04,0.14,0.04
431,0.0,0.28,0.04,0.14,0.04
432,0.0,0.3,0.04,0.14,0.06
433,0.0,0.32,0.04,0.1,0.06
434,0.0,0.4,0.04,0.1,0.04
435,0.0,0.4,0.06,0.06,0.04
436,0.0,0.34,0.08,0.08,0.02
437,0.0,0.36,0.06,0.04,0.02
438,0.0,0.34,0.08,0.04,0.04
439,0.0,0.3,0.1,0.04,0.04
440,0.0,0.26,0.1,0.06,0.04
441,0.0,0.32,0.08,0.06,0.0
442,0.0,0.3,0.1,0.06,0.0
443,0.0,0.32,0.08,0.08,0.0
444,0.0,0.28,0.08,0.1,0.0
445,0.0,0.32,0.08,0.1,0.0
446,0.0,0.24,0.1,0.1,0.04
447,0.0,0.24,0.08,0.1,0.04
448,0.0,0.32,0.06,0.1,0.02
449,0.0,0.34,0.04,0.08,0.04
450,0.0,0.3,0.06,0.1,0.02
451,0.0,0.28,0.08,0.14,0.02
452,0.0,0.26,0.1,0.14,0.06
453,0.0,0.3,0.1,0.06,0.06
454,0.0,0.36,0.06,0.02,0.04
455,0.0,0.38,0.06,0.02,0.04
456,0.0,0.4,0.06,0.02,0.04
457,0.0,0.4,0.08,0.04,0.02
458,0.0,0.34,0.1,0.1,0.0
459,0.0,0.32,0.08,0.14,0.0
460,0.0,0.28,0.08,0.18,0.02
461,0.0,0.34,0.08,0.12,0.02
462,0.0,0.34,0.06,0.1,0.02
463,0.0,0.34,0.08,0.1,0.02
464,0.0,0.3,0.1,0.08,0.04
465,0.0,0.24,0.14,0.1,0.02
466,0.0,0.2,0.14,0.12,0.02
467,0.0,0.22,0.14,0.1,0.02
468,0.0,0.26,0.12,0.04,0.04
469,0.0,0.28,0.12,0.04,0.06
470,0.0,0.26,0.14,0.02,0.06
471,0.0,0.3,0.14,0.0,0.08
472,0.0,0.28,0.16,0.02,0.1
473,0.0,0.24,0.1,0.08,0.1
474,0.0,0.24,0.08,0.1,0.1
475,0.0,0.2,0.12,0.12,0.1
476,0.0,0.24,0.14,0.1,0.1
477,0.0,0.22,0.16,0.1,0.1
478,0.0,0.16,0.18,0.08,0.12
479,0.0,0.16,0.16,0.06,0.16
480,0.0,0.16,0.16,0.04,0.16
481,0.0,0.18,0.12,0.06,0.18
482,0.0,0.18,0.1,0.06,0.16
483,0.0,0.18,0.1,0.08,0.12
484,0.0,0.22,0.06,0.08,0.12
485,0.0,0.2,0.06,0.12,0.12
486,0.0,0.22,0.04,0.12,0.14
487,0.0,0.2,0.06,0.1,0.14
488,0.0,0.2,0.1,0.08,0.12
489,0.0,0.2,0.1,0.1,0.12
490,0.0,0.18,0.12,0.1,0.12
491,0.0,0.16,0.16,0.08,0.14
492,0.0,0.12,0.16,0.08,0.14
493,0.0,0.12,0.18,0.08,0.12
494,0.0,0.14,0.2,0.06,0.08
495,0.0,0.06,0.22,0.08,0.12
496,0.0,0.1,0.16,0.12,0.08
497,0.0,0.16,0.12,0.12,0.06
498,0.0,0.2,0.1,0.12,0.06
499,0.0,0.22,0.06,0.14,0.04
500,0.0,0.26,0.04,0.1,0.04
501,0.0,0.3,0.04,0.1,0.06
502,0.0,0.34,0.04,0.08,0.06
503,0.0,0.28,0.04,0.12,0.08
504,0.0,0.24,0.04,0.12,0.1
505,0.0,0.26,0.04,0.12,0.04
506,0.0,0.28,0.04,0.1,0.04
507,0.0,0.32,0.02,0.1,0.0
508,0.0,0.32,0.02,0.08,0.02
509,0.0,0.34,0.02,0.1,0.02
510,0.0,0.32,0.02,0.1,0.0
511,0.0,0.24,0.02,0.14,0.02
512,0.0,0.24,0.02,0.14,0.04
513,0.0,0.26,0.02,0.16,0.02
514,0.0,0.22,0.02,0.2,0.02
515,0.0,0.18,0.02,0.2,0.04
516,0.0,0.24,0.02,0.16,0.04
517,0.0,0.2,0.04,0.16,0.08
518,0.0,0.2,0.06,0.12,0.08
519,0.0,0.18,0.02,0.16,0.1
520,0.0,0.16,0.06,0.12,0.12
521,0.0,0.2,0.06,0.1,0.1
522,0.0,0.24,0.06,0.04,0.1
523,0.0,0.24,0.06,0.04,0.06
524,0.0,0.2,0.06,0.08,0.08
525,0.0,0.22,0.08,0.08,0.08
526,0.0,0.24,0.1,0.04,0.08
527,0.0,0.22,0.1,0.08,0.1
528,0.0,0.24,0.08,0.08,0.06
529,0.0,0.26,0.08,0.06,0.06
530,0.0,0.22,0.06,0.04,0.08
531,0.0,0.22,0.08,0.04,0.08
532,0.0,0.22,0.08,0.04,0.14
533,0.0,0.24,0.04,0.06,0.14
534,0.0,0.24,0.04,0.04,0.18
535,0.0,0.3,0.04,0.04,0.16
536,0.0,0.3,0.04,0.04,0.18
537,0.0,0.26,0.06,0.04,0.18
538,0.0,0.26,0.08,0.08,0.14
539,0.0,0.28,0.08,0.06,0.1
540,0.0,0.28,0.08,0.04,0.1
541,0.0,0.3,0.04,0.06,0.08
542,0.0,0.32,0.02,0.06,0.1
543,0.0,0.32,0.02,0.04,0.12
544,0.0,0.32,0.02,0.06,0.12
545,0.0,0.3,0.04,0.04,0.12
546,0.0,0.26,0.06,0.06,0.1
547,0.0,0.28,0.04,0.06,0.12
548,0.0,0.3,0.02,0.08,0.14
549,0.0,0.28,0.02,0.08,0.14
550,0.0,0.28,0.02,0.02,0.14
551,0.0,0.26,0.02,0.0,0.16
552,0.0,0.26,0.0,0.02,0.2
553,0.0,0.24,0.0,0.04,0.22
554,0.0,0.26,0.04,0.02,0.18
555,0.0,0.26,0.04,0.02,0.18
556,0.0,0.32,0.04,0.04,0.12
557,0.0,0.32,0.02,0.06,0.1
558,0.0,0.3,0.02,0.08,0.12
559,0.0,0.26,0.06,0.08,0.1
560,0.0,0.32,0.02,0.06,0.08
561,0.0,0.34,0.02,0.06,0.1
562,0.0,0.34,0.04,0.04,0.08
563,0.0,0.34,0.04,0.08,0.1
564,0.0,0.34,0.04,0.08,0.12
565,0.0,0.36,0.04,0.08,0.1
566,0.0,0.36,0.0,0.06,0.12
567,0.0,0.32,0.02,0.06,0.12
568,0.0,0.32,0.0,0.06,0.14
569,0.0,0.3,0.0,0.08,0.12
570,0.0,0.28,0.0,0.12,0.1
571,0.0,0.3,0.0,0.14,0.08
