,M+1,M+2,M+3,M+4
429,0.0,0.34,0.12,0.02
430,0.0,0.34,0.14,0.04
431,0.0,0.38,0.16,0.02
432,0.0,0.36,0.16,0.02
433,0.0,0.4,0.16,0.02
434,0.0,0.38,0.16,0.02
435,0.0,0.32,0.16,0.04
436,0.0,0.3,0.14,0.06
437,0.0,0.3,0.14,0.06
438,0.0,0.3,0.14,0.04
439,0.0,0.32,0.12,0.06
440,0.0,0.3,0.1,0.06
441,0.0,0.3,0.12,0.04
442,0.0,0.3,0.1,0.04
443,0.0,0.3,0.1,0.02
444,0.0,0.28,0.06,0.0
445,0.0,0.26,0.06,0.0
446,0.0,0.26,0.06,0.0
447,0.0,0.28,0.04,0.0
448,0.0,0.3,0.06,0.0
449,0.0,0.34,0.06,0.0
450,0.0,0.26,0.06,0.0
451,0.0,0.26,0.06,0.0
452,0.0,0.26,0.08,0.0
453,0.0,0.28,0.08,0.0
454,0.0,0.3,0.1,0.0
455,0.0,0.3,0.12,0.0
456,0.0,0.28,0.14,0.0
457,0.0,0.26,0.14,0.0
458,0.0,0.24,0.12,0.04
459,0.0,0.24,0.18,0.02
460,0.0,0.2,0.18,0.04
461,0.0,0.22,0.2,0.04
462,0.0,0.22,0.2,0.04
463,0.0,0.2,0.18,0.04
464,0.0,0.2,0.18,0.04
465,0.0,0.22,0.18,0.04
466,0.0,0.22,0.18,0.06
467,0.0,0.26,0.18,0.04
468,0.0,0.26,0.22,0.04
469,0.0,0.3,0.24,0.04
470,0.0,0.3,0.26,0.04
471,0.0,0.36,0.2,0.04
472,0.0,0.38,0.2,0.02
473,0.0,0.36,0.16,0.04
474,0.0,0.34,0.2,0.04
475,0.0,0.34,0.2,0.08
476,0.0,0.34,0.22,0.1
477,0.0,0.32,0.24,0.12
478,0.0,0.34,0.24,0.12
479,0.0,0.3,0.24,0.08
480,0.0,0.3,0.22,0.1
481,0.0,0.28,0.24,0.08
482,0.0,0.28,0.24,0.1
483,0.0,0.26,0.22,0.12
484,0.0,0.28,0.24,0.1
485,0.0,0.3,0.2,0.12
486,0.0,0.26,0.2,0.14
487,0.0,0.28,0.2,0.12
488,0.0,0.24,0.2,0.12
489,0.0,0.2,0.18,0.12
490,0.0,0.2,0.18,0.14
491,0.0,0.22,0.18,0.12
492,0.0,0.18,0.18,0.14
493,0.0,0.18,0.1,0.16
494,0.0,0.2,0.08,0.14
495,0.0,0.16,0.14,0.14
496,0.0,0.18,0.16,0.18
497,0.0,0.14,0.18,0.2
498,0.0,0.12,0.16,0.24
499,0.0,0.12,0.18,0.22
500,0.0,0.12,0.2,0.24
501,0.0,0.12,0.2,0.2
502,0.0,0.12,0.22,0.2
503,0.0,0.12,0.18,0.2
504,0.0,0.12,0.2,0.18
505,0.0,0.14,0.18,0.14
506,0.0,0.16,0.2,0.14
507,0.0,0.14,0.2,0.14
508,0.0,0.16,0.2,0.16
509,0.0,0.18,0.2,0.16
510,0.0,0.14,0.18,0.16
511,0.0,0.14,0.18,0.16
512,0.0,0.18,0.18,0.16
513,0.0,0.22,0.18,0.16
